Person_responsible,Part,Definition,Source,Document,Section,Section_details,Relevant_to_our_drug,link,citation_key
Mouna  (?),Part A: Preclinical Plan,guideline,ICH,M3 (R2),1,Pharmacology studies ,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
Mouna  (?),Part A: Preclinical Plan,guideline,ICH,M3 (R2),2,Toxicokinetic and pharmacokinetic studies,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),3,Acute toxicity studies,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
Olivia,Part A: Preclinical Plan,guideline,ICH,M3 (R2),4,Repeated-dose toxicity studies,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),5,Estimation of the first dose in human,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
Raluca (?),Part A: Preclinical Plan,guideline,ICH,M3 (R2),6,Exploratory clinical trials,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
Raluca (?),Part A: Preclinical Plan,guideline,ICH,M3 (R2),7,Local tolerance studies ,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),8,Genotoxicity studies ,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),9,Carcinogenicity studies ,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),10,Reproduction toxicity studies,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),11,Clinical trials in pediatric populations,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
Olivia,Part A: Preclinical Plan,guideline,ICH,M3 (R2),12,Immunotoxicity,Yes,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),13,Photosafety testing ,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),14,Other toxicity studies ,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,ICH,M3 (R2),15,Combination drug toxicity testing ,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf,
,Part A: Preclinical Plan,guideline,EudraLex,Vol 10,,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en,
,Part A: Preclinical Plan,guideline,ICH,E6 (R2),,,,https://database.ich.org/sites/default/files/E6_R2_Addendum.pdf,
,Part B: Clinical Plan,guideline,ICH,E6 (R2),,,,https://database.ich.org/sites/default/files/E6_R2_Addendum.pdf,
,Part B: Clinical Plan,guideline,EudraLex,Vol 10 R2,,,,,
,"Part C: Chemistry, Manufacturing and Controls, CMC",,,,,,,,
,Part D: Pre-IND Meeting / Scientific Advice,,,,,,,,
,Part E: Inspection Readiness,,EudraLex,Vol 10 R2,Chapter IV – Inspections,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en,